,Unnamed: 0.1,layer1,layer2,svm,rf,nb,kn,dt,ae_svm,ae_rf,ae_nb,ae_kn,ae_dt,method,time_svm,time_rf,time_nb,time_kn,time_dt
12,,25,15,0.887353726321948,0.9139983909895408,0.6892260294010091,0.9042940466613032,0.87662089519491,0.917716485043516,0.950847473122212,0.892502559789366,0.9582525780735759,0.9163405982593432,AE,0.0008206731967929999,0.014134156439758001,0.49652248850131897,0.041657624229592995,0.0007811632160689999
13,,25,15,0.890841991969201,0.920241751873163,0.693685888148363,0.914032785528004,0.8244248044045199,0.9377869768597099,0.966271474106884,0.9206196961543242,0.9667785734983648,0.9294138344993168,AE,0.000656357398135,0.015331315325698999,0.527571764859286,0.051956797875414,0.000627440923159
14,,25,15,0.9032795500645401,0.942874792550249,0.700513553383736,0.939882906140513,0.869220910934907,0.921132214641342,0.963894523326572,0.903701825557809,0.965964410842707,0.9246634704038359,AE,0.001046087126126,0.024176342678200003,0.938530203337478,0.10941337859776196,0.0011346201074980001
15,,25,15,0.8948303805355641,0.928320509612405,0.699998757123752,0.921499190473271,,0.931704364484231,0.9672261819338821,0.898818273263743,0.9673285120782712,,AE,0.0011448297280629998,0.024506039664736,1.0377569362514398,0.110749974071791,
16,,25,15,0.884379742790958,0.9165296249700459,0.685102643981149,0.911619588225897,,0.925581865564342,0.9630137191468968,0.91924899153287,0.9645713515456501,,AE,0.000998543593097,0.020234754106029,0.852514915690601,0.090922442349521,
17,,25,15,0.8969743170211708,0.9198534880261788,0.6884116713768654,0.9172529624671524,0.8769671277703405,0.9308022212306012,0.9691705091972832,0.9056175318558184,0.9642409142743814,0.8820752144379989,AE,0.0009519403631036931,0.01991933635433892,0.74215218471974,0.07548909767457987,0.0009864296432212163
18,,25,15,0.8862524256373054,0.9207919238935028,0.6817946479111714,0.9115396426739528,0.9167175172097825,0.9280065037789312,0.9644014382016504,0.9125172844813992,0.9624895629121925,0.946935604620704,AE,0.0012795346077617506,0.020763230291441642,0.8618370929167637,0.07475058884709089,0.0013953406904575133
19,,25,15,0.9013825507569136,0.9367058767163344,0.7035086496158021,0.9337316677873472,0.9349682712498368,0.9178369104243108,0.9624950643248577,0.9008730569134972,0.96287546238396,0.9484418135529096,AE,0.0009477327226891552,0.017998922685323826,0.676607673710582,0.06282237901346871,0.0010133576792109233
20,,25,15,0.9016362995355552,0.938835759283106,0.7201270354639981,0.9324115717307608,0.9355849755529144,0.9251347320751718,0.9610104574600852,0.8974157593493136,0.9625286760835672,0.9438217729681772,AE,0.0009107136823429018,0.017918804984780688,0.6976714753177253,0.06395319261900281,0.0010120636842090146
21,,25,15,0.9124234503360716,0.9472827981080408,0.7165471745083395,0.9416417724670152,0.9389980084640278,0.9307941249688824,0.9742631316903162,0.9175466766243464,0.9738810057256658,0.9552091112770724,AE,0.0008530683616662338,0.017988055283966138,0.6472162939422761,0.06038648733883515,0.0009706666274396401
22,,25,15,0.908971807628524,0.9470315091210614,0.7065671641791045,0.9441293532338308,0.9367495854063018,0.9303482587064676,0.9694029850746269,0.9211442786069652,0.9699834162520728,0.9546434494195688,AE,0.0008550417040441438,0.016842906370469212,0.6259207766501411,0.059970068963929465,0.0009587618734220851
23,,30,15,0.9046727508343214,0.9384033562990648,0.7058978400204139,0.93301716675923,0.9248278070478276,0.9128190310362598,0.9523523613675368,0.8952332347658146,0.9560211244702622,0.9382902288067326,AE,0.0011805116402407356,0.03747463441984193,1.118282816734642,0.12965540926901806,0.0013704916731042053
24,,30,15,0.9079790768010312,0.9433266398929048,0.7103787991472059,0.9387180822053648,0.9364794982398728,0.921856562050672,0.9608173434478656,0.8912167187267588,0.9643313996727652,0.9425963111706084,AE,0.0007103601228808017,0.014439603959958728,0.5135826911391418,0.037349160037823584,0.0007784026933978014
